Animal,Distance,Mean speed,Time mobile,Time immobile,Line crossings,Time freezing,Closed arms : entries,Closed arms : time,Closed arms : distance,Closed arms : mean visit,Closed arms : time mobile,Closed arms : time immobile,Closed arms : time freezing,Open arms : entries,Open arms : time,Open arms : distance,Open arms : mean visit,Open arms : time mobile,Open arms : time immobile,Open arms : time freezing,Center : entries,Center : time,Center : distance,Center : mean visit,Center : time mobile,Center : time immobile,Center : time freezing,1C : entries,1C : time,1C : distance,1C : mean visit,1C : time mobile,1C : time immobile,1C : time freezing,2O : entries,2O : time,2O : distance,2O : mean visit,2O : time mobile,2O : time immobile,2O : time freezing,3C : entries,3C : time,3C : distance,3C : mean visit,3C : time mobile,3C : time immobile,3C : time freezing,4O : entries,4O : time,4O : distance,4O : mean visit,4O : time mobile,4O : time immobile,4O : time freezing
1,0.429470929,0.371146035,0.962530401,-0.962530401,0.202172296,-0.440359795,-0.151940877,0.795254191,1.090070799,-0.058887393,1.538669564,-0.016267959,-0.244712772,0.538682255,-0.883586625,-0.668575059,-0.623261499,-0.700471099,-0.892989974,-0.382621855,0.234988532,-0.032801751,0.047759769,-0.211977592,0.05260979,-0.061261935,-0.466761921,0.011647184,0.047510725,0.741776354,-0.223546865,1.629134542,-0.48762871,-0.249120958,1.093728868,-0.716998981,-0.706423489,-0.563064356,-0.659684821,-0.713756886,-0.370169388,-0.240222367,0.824787095,1.214049757,1.352822682,1.197785679,0.556861722,-0.071307082,-1.246507727,-0.76492625,-0.588455987,-0.492038607,-0.765849899,-0.649189304,-0.294804612
2,0.022205186,0.032273568,0.449039513,-0.449039513,0.577287157,-0.656268125,0.557116548,0.04732023,0.075538769,-0.327190898,0.016813924,0.042576907,-0.607997712,0.287297202,0.080852086,0.027757986,-0.252228994,0.616530348,-0.161965432,-0.366477473,0.57768014,-0.191584464,-0.156032837,-0.657130534,0.460409973,-0.42391187,-0.466761921,0.174707758,-0.56544698,-0.619711891,-0.335422748,-0.733162066,-0.310339878,-0.369274269,0.643369922,0.165965139,0.143372956,-0.281094336,0.630256502,-0.032767864,-0.302690593,0.701449312,0.5384369,0.559594559,-0.090014238,0.650238997,0.422711847,-0.450094348,-0.840668002,-0.09116755,-0.155081781,0.250052407,0.57306959,-0.238432227,-0.294804612
3,0.667718559,0.710018501,0.42529427,-0.42529427,0.952402019,-0.668694504,1.443438328,0.203819891,0.746506252,-0.405242826,0.43286079,-0.027165156,-0.615566149,-0.341165428,-1.094865479,-0.742724754,-0.668041284,-0.879448219,-1.099939896,-0.382621855,0.988910071,1.226563102,1.772916515,0.307367508,1.292655245,0.865308647,-0.466761921,0.337768333,-0.132128365,0.583327291,-0.286656337,0.002576114,-0.12950527,-0.37901643,-0.407467617,-1.020194366,-0.802966475,-0.593713271,-0.924539693,-1.021629168,-0.370169388,1.912170041,0.335692602,0.778023662,-0.820564577,0.723653077,0.118079838,-0.450094348,-0.028988552,-0.736457572,-0.625211591,-0.513548492,-0.765849899,-0.617992564,-0.294804612
4,0.552650424,0.597061012,0.536600098,-0.536600098,1.395719582,-0.603456016,1.620702684,0.036758904,0.3831307,-0.439390545,0.035061594,0.020782512,-0.509608041,0.412989729,-0.532185006,-0.341305268,-0.495319256,-0.220947496,-0.626486119,-0.382621855,1.33160168,0.697287391,1.522331649,-0.360361906,1.696294201,0.07473179,-0.466761921,1.968374076,0.059648501,0.400817444,-0.366977484,0.168477861,0.004052316,-0.330305628,0.493250274,-0.304357458,-0.206254465,-0.397560214,-0.198641154,-0.336562367,-0.370169388,0.835973837,-0.011271866,0.327435627,-0.637926993,-0.083901806,0.021659615,-0.358052582,-0.028988552,-0.665285879,-0.542297788,-0.470528723,-0.259801588,-0.667387403,-0.294804612
5,0.707332179,0.710018501,0.665714859,-0.665714859,1.32751688,-0.673354396,0.025323479,-1.516716254,-0.314685909,-0.497929492,-0.501419891,-1.422006415,-0.630703021,2.424070146,1.32991516,1.11910668,-0.277817442,1.345946534,1.215219297,-0.372935226,1.33160168,0.56808185,1.007616788,-0.434554063,1.350912414,0.07291854,-0.466761921,-0.314473965,-1.064309588,-0.555158569,-0.375583321,-0.624965275,-0.831569043,-0.38875859,2.444805704,1.423116734,1.306252303,-0.256575204,1.483677757,1.345521295,-0.329682111,0.297875735,-0.734462868,-0.108590468,-1.057993438,-0.310261887,-0.840532813,-0.460714551,1.188530623,0.601570267,0.791161308,-0.088728273,1.015861862,0.4063004,-0.294804612
6,1.701634047,1.7266359,0.646421849,-0.646421849,0.270374998,-0.671801099,-0.240573055,-1.314130804,-0.325112755,-0.429634054,-0.713092858,-1.065668062,-0.620611773,0.915759833,1.722915724,2.814775388,0.086817951,2.338763009,1.31199444,-0.382621855,0.234988532,-0.317676619,1.180009325,-0.50874622,0.55611818,-0.612489836,-0.466761921,0.174707758,-0.712314074,-0.227697172,-0.358371647,-0.621358715,-0.489992561,-0.38875859,0.493250274,1.539957882,2.628400303,0.184769174,2.160529097,1.225226827,-0.370169388,-0.509271418,-0.81702369,-0.357391618,-0.637926993,-0.668155529,-0.78743182,-0.44655428,1.594370348,1.263467017,3.020431386,0.040331033,2.649976198,0.731266442,-0.294804612
7,0.769959426,0.710018501,1.415174103,-1.415174103,0.304476349,-0.440359795,1.177541794,1.325240771,1.62887802,-0.249138969,2.1882866,0.197317109,-0.244712772,-1.095320584,-1.053266534,-0.678012293,-0.546496153,-0.845678951,-1.05974099,-0.382621855,0.303526853,-0.652365671,-0.095695449,-0.879707005,0.01931998,-0.766616058,-0.466761921,0.337768333,0.596138215,1.889651788,-0.186254904,2.105200424,-0.109412536,-0.239378798,-0.857826563,-0.978782313,-0.736422722,-0.495636743,-0.875492495,-0.984929161,-0.370169388,1.508596465,0.930339538,1.259815855,-0.272651823,1.882983762,0.3835848,-0.085467354,-1.246507727,-0.712733674,-0.564522106,-0.373734243,-0.755307225,-0.597194738,-0.294804612
8,0.012207463,0.032273568,0.546988642,-0.546988642,-0.036537162,-0.05824865,0.113955657,0.096286382,0.070064675,-0.244260723,0.555120176,-0.222224989,-0.080729987,-0.215472902,0.199080668,0.13156756,-0.041124292,0.332868498,0.123893452,-0.382621855,-0.039164755,-0.439098694,-0.365366632,-0.434554063,-0.142967848,-0.449297365,-0.269736789,1.316131779,0.411644014,0.349761635,-0.298130787,1.016019392,0.06669437,-0.021803883,-0.10722832,0.445496494,0.161917936,0.062173514,0.365401629,0.462682233,-0.370169388,-0.912844995,-0.24954867,-0.136466182,1.115393821,0.069044195,-0.364021276,-0.089007422,-0.434828277,-0.283331123,0.079128342,-0.158635398,0.256789396,-0.373618101,-0.294804612
9,-0.363744657,-0.419556387,-0.316744586,0.316744586,-0.650361481,0.465212553,-0.506469589,0.618591997,0.300497952,0.019164536,0.363519645,0.485003119,-0.002522812,-0.466857954,-0.803672861,-0.738680225,-0.488922144,-0.838925098,-0.723261262,-0.227635787,-0.656009651,0.138434508,-0.547610171,1.049289078,-0.683927275,0.459140721,3.14536551,-0.966716262,-0.092073703,0.223589233,-0.045692897,0.482248555,-0.247697825,-0.320563467,-0.407467617,-0.634174876,-0.796421188,-0.366911299,-0.860778335,-0.515984625,0.277627041,0.028826684,0.752677009,0.321194795,0.804909927,0.200577755,0.914594723,0.34642093,-0.434828277,-0.722223233,-0.625211591,-0.492038607,-0.765849899,-0.602394194,-0.294804612
10,-1.069055733,-1.09730132,-1.070656063,1.070656063,-0.411652023,-0.187172329,-1.038262657,-1.454308414,-1.18610949,-0.297921424,-0.901043854,-1.111436291,-0.567632719,0.664374781,0.519830432,-0.069310705,-0.194654984,-0.150032033,0.773031335,0.059734214,-0.381856364,1.617293112,-0.561155299,2.533132219,-0.762990576,2.216179653,0.79748268,-1.129776837,-0.660121636,-1.265831958,-0.151831555,-0.610539036,-0.442715539,-0.353037335,0.193010977,0.430706475,-0.080257687,-0.072681713,-0.188831715,0.67268783,-0.08675845,-0.643795944,-1.014542619,-0.995204598,-0.838828336,-0.99545997,-0.902018172,-0.411153601,1.594370348,0.435502982,-0.04994366,-0.196277696,-0.059490798,0.492091435,0.080695537
11,-0.400906005,-0.419556387,-0.836171784,0.836171784,-0.752665534,1.123810624,-0.329205233,1.43277428,0.288246409,0.116729447,-0.309819361,1.811192034,2.270530876,-0.969628058,-1.127706752,-0.719805757,-0.648849948,-0.869317439,-1.15056074,-0.382621855,-0.724547973,-0.719303482,-0.674441824,-0.137785435,-0.571574163,-0.58891759,-0.384668116,-0.803655688,-0.711100296,-0.426638773,-0.240758539,-1.216441067,-0.293792921,-0.174431062,-1.007946211,-1.070480429,-0.796966628,-0.569194139,-0.904920814,-1.10114585,-0.370169388,0.16335121,2.170842022,0.762629611,2.174691813,0.512587596,2.668324865,3.376719054,-0.434828277,-0.726968013,-0.577343828,-0.497416078,-0.765849899,-0.607593651,-0.294804612
12,-2.49571197,-2.452791186,-2.401873769,2.401873769,-2.423631736,2.950488294,-2.190480971,0.983437831,-2.253557759,3.419301681,-1.705766081,2.134838795,2.338646802,-1.346705637,0.519830432,-0.643296754,2.639265703,-0.781517342,1.051445978,3.359645911,-2.438006017,-2.332037706,-1.647843971,-1.547436418,-1.878199239,-1.898083854,-0.466761921,-1.945079709,3.083168585,-2.011129403,3.459751431,-1.119063955,3.368994339,3.433415661,-1.308185508,-0.950681277,-0.82587498,0.123471344,-0.904920814,-0.935995818,-0.370169388,-1.719992148,-1.58515286,-2.171393311,-1.039729679,-1.910077054,-1.247174622,-0.460714551,-0.840668002,2.651315042,-0.337150235,3.352853241,-0.50228307,3.02942629,3.456959809
13,0.099168791,0.145231057,-0.474056823,0.474056823,0.133969593,-0.410847146,0.025323479,-0.291602347,0.600791092,-0.293043179,-0.236828683,-0.189533397,-0.338056819,0.161604676,-0.375641606,-0.302545201,-0.399362573,-0.34251686,-0.359982263,-0.295442192,0.16645021,1.007069351,-0.543300358,0.900904764,-0.367674072,1.331313813,-0.228689886,0.500828907,-0.163686584,1.237076388,-0.306736624,-0.448243849,-0.012494641,-0.353037335,-0.257347969,-0.097297195,-0.090621059,-0.127849761,-0.154498676,-0.069467871,-0.005783897,-0.374746893,-0.176393511,0.081962921,0.16567838,-0.013546646,-0.228474006,-0.089007422,1.188530623,-0.660541099,-0.625211591,-0.497416078,-0.734221879,-0.540000714,-0.294804612
14,-0.632928638,-0.645471365,-0.548260709,0.548260709,-0.889070938,0.271050386,-0.506469589,-0.962726658,-1.104258756,-0.312556161,-0.762361566,-0.637408207,-0.146323101,-0.969628058,1.49850036,0.811048402,1.909994916,0.994746148,1.599342172,0.521463541,-0.930162938,-0.569860928,-0.939187506,0.381559665,-1.02098661,-0.219014657,0.674341972,0.337768333,-0.096928814,-0.319832368,-0.283787725,-0.029882923,-0.0845921,0.134070683,-1.007946211,1.767724171,0.802265194,3.353867005,1.03244353,2.006121424,3.40864311,-1.04736952,-0.964379082,-1.535660607,-0.217860548,-1.255468171,-0.716164699,-0.350972446,-0.028988552,0.411779084,0.799709123,0.137125513,0.878807111,0.23471833,-0.294804612
